번호,유적명,유구명,유형,매장주체부,장축방향,길이(m),넓이(m),높이(m),출전,비고,지역
1220,아산 용두리 진터,13호묘(주구토광묘),옹관묘,옹관,N83E,1.06,0.68,*0.14,"충청문화재연구원 115, 2011",배장용 옹관,아산
1345,아산 명암리 밖지므레(3지점),8호 토광묘,토광묘,목관,N159S,2.74,0.76,*2.14,"충청남도역사문화연구원, 2011",,아산
1816,청주 오송유적(3지점),11호 토광묘,주구토광묘,?,N87W,2.74,*0.86,*0.15,"중앙문화재연구원, 2019",,청주
2994,연기 용호리,17호 토광묘,토광묘,?,N9E,2.74,0.65,*0.2,"국방문화재연구원, 2012",,연기
3000,연기 용호리,23호 토광묘,토광묘,목관,N4E,2.74,0.8,*0.25,"국방문화재연구원, 2012",,연기
3131,아산 북수리,79호 묘,토광묘,목관,N65E,2.74,1.17,0.57,"중부고고학연구소, 2018",,아산
3379,청주 송절동 Ⅱ지구,1지점 81호 토광묘,토광묘,목곽,N55W,2.74,1.18,*0.54,"호서문화유산연구원, 2018",,청주
1227,아산 용두리 진터,1호묘(옹관묘),옹관묘,옹관,N80E,2.49,1.5,*0.3,"충청문화재연구원 115, 2011",,아산
1228,아산 용두리 진터,2호묘(옹관묘),옹관묘,옹관,N72E,0.75,0.48,*0.14,"충청문화재연구원 115, 2011",,아산
1229,아산 용두리 진터,3호묘(옹관묘),옹관묘,옹관,N95E,0.97,0.57,*0.06,"충청문화재연구원 115, 2011",,아산
1230,아산 용두리 진터,4호묘(옹관묘),옹관묘,옹관,N113W,1.01,0.74,*0.1,"충청문화재연구원 115, 2011",,아산
1231,아산 용두리 진터,5호묘(옹관묘),옹관묘,옹관,N105W,1.02,0.69,*0.1,"충청문화재연구원 115, 2011",,아산
1232,아산 용두리 진터,6호묘(옹관묘),옹관묘,옹관,N127W,1.2,0.62,*0.15,"충청문화재연구원 115, 2011",,아산
1233,아산 용두리 진터,7호묘(옹관묘),옹관묘,옹관,N40E,1,0.65,*0.34,"충청문화재연구원 115, 2011",,아산
1234,아산 용두리 진터,8호묘(옹관묘),옹관묘,옹관,N90E,1.17,0.7,*0.2,"충청문화재연구원 115, 2011",,아산
1235,아산 용두리 진터,9호묘(옹관묘),옹관묘,옹관,N90E,0.92,0.6,*0.12,"충청문화재연구원 115, 2011",,아산
1236,아산 용두리 진터,10호묘(옹관묘),옹관묘,옹관,N20E,0.84,0.7,*0.2,"충청문화재연구원 115, 2011",,아산
1237,아산 용두리 진터,11호묘(옹관묘),옹관묘,옹관,N21E,1.26,0.64,*0.16,"충청문화재연구원 115, 2011",,아산
3553,청주 신봉동 고분군,21호,토광묘,목관,N20E,2.74,1.44,*0.70,"충북대학교박물관, 2003",,청주
794,충주 금릉동,78-2호 토광묘,토광묘,목관,N20W,2.75,1,0.9,"충북대학교박물관 112, 2004",동혈합장,충주
1719,예산 목리·신리 유적,145호분(3-2지점),토광묘,석실,N37E,2.75,1.4,0.23,"충청문화재연구원, 2014",,예산
2316,청주 오송유적(11지점),18호 토광묘,토광묘,?,N69W,2.75,1.56,*0.4,"중앙문화재연구원, 2019",,청주
2769,청주 문암동,C지점 14호 분묘,토광묘,목관 혹은 목곽,N30E,2.75,1.07,0.7,"충청북도문화재연구원 98, 2021",,청주
2977,음성 용대리,1호 토광묘,토광묘,?,N26E,2.75,0.75,*0.19,"중원문화재연구원, 2011",,음성
842,충주 금릉동,120호 토광묘,토광묘,목관,S81W,2.76,1,0.65,"충북대학교박물관 112, 2004",,충주
1392,아산 명암리 밖지므레(3지점),21호 주구토광묘,토광묘,목관,N75S,2.76,1.04,*0.36,"충청남도역사문화연구원, 2011",,아산
1921,청주 오송유적(4지점),23호 토광묘,토광묘,목곽,N75E,2.76,1.1,*0.29,"중앙문화재연구원, 2019",,청주
2454,청주 오송유적(15지점),46호 토광묘,토광묘,?,N30E,2.76,1.03,*0.3,"중앙문화재연구원, 2019",,청주
3042,홍성 동성리,1호 주구토광묘,주구토광묘,목관,N16E,2.76,1.22,0.76,"충청남도역사문화연구원, 2014",,홍성
3178,아산 북수리,126호 묘,토광묘,목관,N83W,2.76,0.195,0.24,"중부고고학연구소, 2018",,아산
563,부여 외리유적,2호토광묘,토광묘,목관,n45w,2.77,*0.96,*0.32,가경고고학연구소,,부여
1007,충주 금릉동 301-4번지,27호 토광묘,토광묘,목관,N89W,2.77,0.96,0.28,"호서문화유산연구원 66, 2021",,충주
1376,아산 명암리 밖지므레(3지점),5호 주구토광묘,토광묘,목관,N6S,2.77,0.95,*0.22,"충청남도역사문화연구원, 2011",,아산
3170,아산 북수리,118호 묘,토광묘,목관,N57W,2.77,1.08,0.32,"중부고고학연구소, 2018",,아산
54,공주 하봉리,6호묘,주구토광묘,목관,W24.5N,2.78,0.89,*0.05,"국립공주박물관, 1995",,공주
686,서산 여미리 방죽골,10호 토광묘,토광묘,목관,N21W,2.78,1.17,*0.27,"충청문화재연구원, 2005",,서산
1141,천안 대화리·신풍리,KM-045,토광묘,목관,N22W,2.78,1.09,0.28,"한국고고환경연구소 59, 2014",,천안
1171,아산 용두리 진터,9호묘(토광묘),토광묘,목관,N45E,2.78,0.96,0.4,"충청문화재연구원 115, 2011",,아산
1292,아산 명암리 밖지므레(2-2지점),28호 토광묘,토광묘,목관,N84S,2.78,0.87,*0.29,"충청남도역사문화연구원, 2011",,아산
1352,아산 명암리 밖지므레(3지점),15호 토광묘,토광묘,목관,N25S,2.78,0.95,*0.25,"충청남도역사문화연구원, 2011",,아산
1956,청주 오송유적(4지점),58호 토광묘,토광묘,목곽,N80W,2.78,0.99,*0.34,"중앙문화재연구원, 2019",,청주
2761,청주 문암동,C지점 5호 분묘,토광묘,?,N24E,2.78,0.93,0.43,"충청북도문화재연구원 98, 2021",,청주
2857,청주 송절동 고분군,A-2지점 2호분,토광묘,기반토 정지,N45E,2.78,1.1,*0.3,"충북대박물관, 1994",,청주
1263,아산 명암리 밖지므레(2-1지점),1호 옹관묘,옹관묘,옹관,EW,0.96,0.57,*0.22,"충청남도역사문화연구원, 2011",,아산
1264,아산 명암리 밖지므레(2-1지점),2호 옹관묘,옹관묘,옹관,EW,-,0.95,*0.18,"충청남도역사문화연구원, 2011",,아산
3238,아산 북수리,186호 묘,토광묘,목관,N17W,2.78,0.79,*0.17,"중부고고학연구소, 2018",,아산
3257,천안 청당동·구룡동,B지점 1호 토광묘,토광묘,목관,N35E,2.78,0.82,*0.16,"한얼문화재연구원, 2021",,천안
3355,청주 송절동 Ⅱ지구,1지점 57호 토광묘,토광묘,목곽,N41W,2.78,0.98,*0.46,"호서문화유산연구원, 2018",,청주
3370,청주 송절동 Ⅱ지구,1지점 72호 토광묘,토광묘,직장,N14E,2.78,0.88,*0.39,"호서문화유산연구원, 2018",,청주
22,청주 용암,II-2호 석곽묘,토광묘,석곽,N49E,2.79,1.77,0.47,"한국문화재보호재단 72, 2000",,청주
1861,청주 오송유적(3지점),56호 토광묘,토광묘,?,N14E,2.79,1.18,*0.37,"중앙문화재연구원, 2019",,청주
2237,청주 오송유적(9지점),2호 토광묘,토광묘,?,N37W,2.79,1,*0.23,"중앙문화재연구원, 2019",,청주
2260,청주 오송유적(9지점),24호 토광묘,토광묘,목관,N26W,2.79,1.03,*0.34,"중앙문화재연구원, 2019",,청주
38,청주 신봉동,토광묘 10호,토광묘,목관,북서-동남,2.8,1.2,?,"충북대학교박물관 7, 1983",,청주
390,보령 명천동,삼국시대 3호 주구토광묘,주구토광묘,토광,N50E,2.8,1.44,0.08,"대한문화재연구원 73, 2018",,보령
723,충주 금릉동,13호 토광묘,토광묘,목관,S63E,2.8,1.05,0.42,"충북대학교박물관 112, 2004",,충주
791,충주 금릉동,76호 토광묘,토광묘,목관,N25W,2.8,1.05,0.9,"충북대학교박물관 112, 2004",관'ㅍ'형,충주
805,충주 금릉동,87호 토광묘,토광묘,목관,N30W,2.8,1.1,0.7,"충북대학교박물관 112, 2004",,충주
865,충주 금릉동,143호 토광묘,토광묘,목관,N85W,2.8,1.1,0.85,"충북대학교박물관 112, 2004",,충주
1107,천안 대화리·신풍리,KM-011,주구토광묘,목관,N28W,2.8,0.9,0.31,"한국고고환경연구소 59, 2014",,천안
1158,천안 대화리·신풍리,KM-062,토광묘,목관,N45E,2.8,1.04,0.38,"한국고고환경연구소 59, 2014",,천안
1184,아산 용두리 진터,22호묘(토광묘),토광묘,목곽,N33E,2.8,1.24,0.44,"충청문화재연구원 115, 2011",,아산
1297,아산 명암리 밖지므레(2-2지점),33호 토광묘,토광묘,목관,N116S,2.8,0.78,*0.1,"충청남도역사문화연구원, 2011",,아산
1299,아산 명암리 밖지므레(2-2지점),35호 토광묘,토광묘,목관,N79S,2.8,0.93,*0.15,"충청남도역사문화연구원, 2011",,아산
2261,청주 오송유적(9지점),25호 토광묘,토광묘,?,N77E,2.8,1.01,*0.41,"중앙문화재연구원, 2019",,청주
2398,청주 오송유적(13지점),4호 토광묘,토광묘,?,N71W,2.8,1.08,*0.2,"중앙문화재연구원, 2019",,청주
2886,청주 가경4지구,8호 토광묘,토광묘,목곽 + 목관,N19E,2.8,1.42,0.34,"충북대박물관, 2002",,청주
3038,아산 갈산리,7호 토광묘,토광묘,목관,N39W,2.8,0.86,0.26,"백제문화재연구원, 2014",,아산
3082,아산 북수리,30호 묘,토광묘,목관,N38E,2.8,1.34,0.42,"중부고고학연구소, 2018",,아산
3381,청주 송절동 Ⅱ지구,1지점 83호 토광묘,토광묘,목곽,N15E,2.8,1.1,*0.42,"호서문화유산연구원, 2018",,청주
3448,청주 신봉동 고분군,20호분,토광묘,목관,N75E,2.8,1.18,*0.80,"충북대학교박물관, 1995",,청주
3453,청주 신봉동 고분군,25호분,토광묘,?,N15E,2.8,1.16,*0.08,"충북대학교박물관, 1995",,청주
3496,청주 신봉동 고분군,69호분,토광묘,목관,N25W,2.8,1.38,*0.50,"충북대학교박물관, 1995",,청주
3531,청주 신봉동 고분군,103호분,토광묘,목관,N30E,2.8,1.32,*1.00,"충북대학교박물관, 1995",,청주
